Gene_Name	Best_Theta	Group	CHROM	START	STOP	STRAND	SIGVAL	Best_Theta_0	Loss_Diff_0	Category_0	Best_Theta_30	Loss_Diff_30	Category_30	Best_Theta_60	Loss_Diff_60	Category_60	Best_Theta_120	Loss_Diff_120	Category_120
Q0275	NA	Bad	chrM	79212	80022	+	1	NA	NA	on chrM 	NA	NA	on chrM 	NA	NA	on chrM 	NA	NA	on chrM 
Q0297	NA	Bad	chrM	85553	85709	+	1	NA	NA	on chrM 	NA	NA	on chrM 	NA	NA	on chrM 	NA	NA	on chrM 
YAL001C	NA	Bad	chrI	147593	151166	-	1	NA	NA	has intron 	NA	NA	has intron 	NA	NA	has intron 	NA	NA	has intron 
YAL002W	2676	Low	chrI	143706	147531	+	1	NA	NA	bad_match	436	0.263425	Low	2676	0.3360013	Low	2776	0.178412	Low
YAL003W	NA	Bad	chrI	142173	143160	+	1	NA	NA	has intron 	NA	NA	has intron 	NA	NA	has intron 	NA	NA	has intron 
YAL004W	NA	Bad	chrI	140759	141407	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YAL005C	NA	Bad	chrI	139502	141431	-	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YAL007C	NA	Bad	chrI	137697	138345	-	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YAL008W	NA	Bad	chrI	136913	137510	+	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YAL009W	439	Low	chrI	135853	136633	+	1	NA	NA	bad_match	151	0	Low	439	0.1902074	Low	151	0	Low
YAL010C	1032	High	chrI	134183	135665	-	1	NA	NA	bad_match	1032	4.858052	High	1076	2.062507	Medium	1021	3.27939	Medium
YAL011W	1261	Medium	chrI	132198	134076	+	1	1508	1.420501	Low	1261	2.444997	Medium	1222	2.426067	Medium	1359	1.538146	Low
YAL012W	151	Bad	chrI	130798	131983	+	1	NA	NA	bad_match	NA	NA	bad_match	151	0.1583485	Low	NA	NA	bad_match
YAL013W	869	Low	chrI	129269	130487	+	1	NA	NA	bad_match	869	1.504853	Low	1036	0.06992997	Low	273	0.1402586	Low
YAL014C	616	Low	chrI	128251	129019	-	1	NA	NA	bad_match	361	0.2308121	Low	616	0.5836986	Low	572	0.0004975604	Low
YAL015C	331	Low	chrI	126902	128102	-	1	NA	NA	bad_match	171	0.002643797	Low	151	0.3610251	Low	331	0.7369421	Low
YAL016C-A	NA	Bad	chrI	124754	125069	-	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YAL016C-B	NA	Bad	chrI	124306	124492	-	1	NA	NA	reads<=5 	NA	NA	lens<=700 	NA	NA	reads<=5 	NA	NA	lens<=700 
YAL016W	NA	Bad	chrI	124878	126786	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YAL017W	290	Low	chrI	120224	124295	+	1	NA	NA	bad_match	1674	0.0803602	Low	290	0.3072906	Low	2215	0.1050069	Low
YAL018C	NA	Bad	chrI	118563	119541	-	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YAL019W	889	Medium	chrI	114918	118314	+	1	NA	NA	bad_match	1118	2.480472	Medium	889	2.825253	Medium	1644	2.284854	Medium
YAL019W-A	NA	Bad	chrI	114249	114819	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YAL020C	NA	Bad	chrI	113613	114615	-	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YAL021C	1339	Low	chrI	110845	113359	-	1	NA	NA	bad_match	1462	0.6191726	Low	342	0.2995193	Low	1339	1.372354	Low
YAL022C	1406	Low	chrI	108876	110430	-	1	NA	NA	bad_match	1406	0.1961197	Low	752	0.1902644	Low	1331	0.004480144	Low
YAL023C	2121	Low	chrI	106271	108551	-	1	NA	NA	bad_match	2121	0.6854206	Low	593	0.1027532	Low	1189	0.5675495	Low
YAL024C	2163	High	chrI	101564	105872	-	1	NA	NA	bad_match	2286	2.096413	Medium	2886	2.897679	Medium	2163	4.716932	High
YAL025C	250	Low	chrI	100224	101145	-	1	599	0.01557961	Low	728	0.0647468	Low	250	0.6619134	Low	225	0.07361208	Low
YAL026C	NA	Bad	chrI	95629	99697	-	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YAL026C-A	NA	Bad	chrI	95385	95823	-	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YAL027W	NA	Bad	chrI	94686	95472	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YAL028W	922	Low	chrI	92899	94486	+	1	NA	NA	bad_match	531	0.001819434	Low	922	0.2552863	Low	325	0.0732998	Low
YAL029C	1533	Low	chrI	87854	92270	-	1	NA	NA	bad_match	1533	0.8025244	Low	1414	0.2235112	Low	1834	0.6584974	Low
YAL030W	NA	Bad	chrI	87285	87752	+	1	NA	NA	has intron 	NA	NA	has intron 	NA	NA	has intron 	NA	NA	has intron 
YAL031C	NA	Bad	chrI	84748	87031	-	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YAL031W-A	NA	Bad	chrI	84668	84977	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YAL032C	900	Low	chrI	83334	84474	-	1	NA	NA	bad_match	900	0.7308301	Low	938	0.6149355	Low	157	0.1080225	Low
YAL033W	NA	Bad	chrI	82705	83227	+	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YAL034C	794	Low	chrI	80709	81951	-	1	NA	NA	bad_match	151	0.001932945	Low	794	0.8534285	Low	865	0.39602	Low
YAL034C-B	NA	Bad	chrI	79488	79842	-	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YAL034W-A	NA	Bad	chrI	79717	80587	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YAL035W	1074	Low	chrI	76426	79435	+	1	NA	NA	bad_match	1074	1.354102	Low	1095	1.055537	Low	528	1.238377	Low
YAL036C	461	Low	chrI	75042	76152	-	1	NA	NA	bad_match	874	0.3217626	Low	623	0.3365343	Low	461	0.7361345	Low
YAL037C-A	NA	Bad	chrI	73425	73518	-	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YAL037C-B	NA	Bad	chrI	72325	73300	-	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YAL037W	191	Low	chrI	74019	74823	+	1	216	0.4097133	Low	151	0.07092804	Low	151	0	Low	191	0.3353616	Low
YAL038W	NA	Bad	chrI	71785	73288	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YAL039C	406	Low	chrI	68715	69525	-	1	NA	NA	bad_match	318	0.007475497	Low	151	0	Low	406	0.8787758	Low
YAL040C	646	Low	chrI	65777	67520	-	1	NA	NA	bad_match	163	0.007699466	Low	338	0.3024106	Low	646	0.8249164	Low
YAL041W	250	Low	chrI	62839	65404	+	1	NA	NA	bad_match	151	0	Low	2089	0.2013381	Low	250	0.4635015	Low
YAL042C-A	NA	Bad	chrI	61230	61608	-	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YAL042W	NA	Bad	chrI	61315	62563	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YAL043C	1992	High	chrI	58694	61052	-	1	NA	NA	bad_match	1958	4.140364	High	1933	7.055085	High	1992	9.204989	High
YAL044C	NA	Bad	chrI	57949	58462	-	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YAL044W-A	NA	Bad	chrI	57517	57850	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YAL045C	NA	Bad	chrI	57487	57796	-	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YAL046C	NA	Bad	chrI	57028	57385	-	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YAL047C	657	Medium	chrI	54988	56857	-	1	1654	0.8501815	Low	1150	1.426143	Low	657	3.470058	Medium	814	1.592054	Low
YAL047W-A	NA	Bad	chrI	54583	54913	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YAL048C	NA	Bad	chrI	52800	54789	-	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YAL049C	591	Bad	chrI	51854	52595	-	1	NA	NA	bad_match	NA	NA	bad_match	591	0.03302631	Low	151	0	Low
YAL051W	2345	Low	chrI	48563	51707	+	1	NA	NA	bad_match	2345	1.368124	Low	1546	0.8300008	Low	1978	0.3652838	Low
YAL053W	1431	Low	chrI	45898	48250	+	1	NA	NA	bad_match	2191	0.297153	Low	1431	0.3352112	Low	547	0.01992856	Low
YAL054C	1964	Low	chrI	42880	45022	-	1	151	0.08386554	Low	151	0	Low	1779	0.1033402	Low	1964	0.1252639	Low
YAL055W	NA	Bad	chrI	42176	42719	+	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YAL056C-A	NA	Bad	chrI	38695	39046	-	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YAL056W	521	Low	chrI	39258	41901	+	1	NA	NA	bad_match	521	0.1458388	Low	244	0.03694946	Low	1606	0.07369012	Low
YAL058W	NA	Bad	chrI	37463	38972	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YAL059C-A	NA	Bad	chrI	36495	36918	-	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YAL059W	NA	Bad	chrI	36508	37147	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YAL060W	362	Low	chrI	35154	36303	+	1	NA	NA	bad_match	403	0.09551571	Low	362	0.4276042	Low	151	0	Low
YAL061W	151	Bad	chrI	33447	34701	+	1	NA	NA	bad_match	151	0	Low	NA	NA	bad_match	151	0	Low
YAL062W	533	Low	chrI	31566	32940	+	1	525	1.456667	Low	361	0.4538669	Low	533	0.6893192	Low	231	0.2521449	Low
YAL063C	NA	Bad	chrI	23999	27968	-	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YAL063C-A	NA	Bad	chrI	22394	22685	-	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YAL064C-A	NA	Bad	chrI	13362	13743	-	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YAL064W	NA	Bad	chrI	21565	21850	+	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YAL064W-B	NA	Bad	chrI	12045	12426	+	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YAL065C	NA	Bad	chrI	11564	11951	-	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YAL066W	NA	Bad	chrI	10090	10399	+	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YAL067C	1592	Bad	chrI	7234	9016	-	1	NA	NA	reads<=5 	1592	0.1052669	Low	NA	NA	reads<=5 	NA	NA	reads<=5 
YAL067W-A	NA	Bad	chrI	2479	2707	+	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YAL068C	NA	Bad	chrI	1806	2169	-	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YAL068W-A	NA	Bad	chrI	537	792	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YAL069W	NA	Bad	chrI	334	649	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YAR002C-A	NA	Bad	chrI	154064	154724	-	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YAR002W	682	Medium	chrI	152256	153876	+	1	NA	NA	bad_match	552	0.714873	Low	625	2.024957	Medium	682	2.996601	Medium
YAR003W	151	Low	chrI	155004	156285	+	1	NA	NA	bad_match	151	0	Low	151	0.173717	Low	151	0	Low
YAR007C	1191	Low	chrI	156753	158619	-	1	NA	NA	bad_match	1181	0.3879115	Low	1175	0.9100881	Low	1191	1.050737	Low
YAR008W	480	Bad	chrI	158965	159793	+	1	190	0.7687753	Low	496	0.03054177	Low	480	0.5763756	Low	NA	NA	reads<=5 
YAR009C	NA	Bad	chrI	160596	164187	-	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YAR010C	NA	Bad	chrI	164543	165866	-	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YAR014C	1583	Low	chrI	166741	168871	-	1	NA	NA	bad_match	1922	0.807363	Low	1851	0.6841207	Low	1583	1.224194	Low
YAR015W	224	Bad	chrI	169374	170295	+	1	NA	NA	bad_match	NA	NA	bad_match	372	1.173664	Low	224	1.566369	Low
YAR018C	909	Medium	chrI	170395	171703	-	1	NA	NA	bad_match	610	1.996239	Low	909	3.236931	Medium	1052	2.225532	Medium
YAR019C	NA	Bad	chrI	172210	175135	-	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YAR019W-A	NA	Bad	chrI	174997	175330	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YAR020C	NA	Bad	chrI	176855	177023	-	1	NA	NA	reads<=5 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YAR023C	NA	Bad	chrI	179280	179820	-	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YAR027W	338	Low	chrI	183769	184477	+	1	NA	NA	bad_match	338	0.5170284	Low	151	0	Low	474	0.04696182	Low
YAR028W	273	Low	chrI	184891	185596	+	1	NA	NA	bad_match	151	0	Low	178	0.4836162	Low	273	0.9452572	Low
YAR029W	NA	Bad	chrI	186320	186545	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YAR030C	NA	Bad	chrI	186511	186853	-	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YAR031W	NA	Bad	chrI	186835	187732	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YAR033W	NA	Bad	chrI	188106	188811	+	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YAR035C-A	NA	Bad	chrI	192336	192417	-	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YAR035W	255	Low	chrI	190192	192256	+	1	NA	NA	reads<=5 	374	0.1561725	Low	255	0.2208437	Low	151	0	Low
YAR042W	2287	Low	chrI	192618	196185	+	1	NA	NA	bad_match	2637	0.4159927	Low	2287	1.426428	Low	2320	1.155821	Low
YAR047C	NA	Bad	chrI	201466	201787	-	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	lens<=700 	NA	NA	lens<=700 
YAR050W	NA	Bad	chrI	203402	208016	+	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YAR053W	NA	Bad	chrI	208366	208663	+	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YAR060C	NA	Bad	chrI	217156	217492	-	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YAR064W	NA	Bad	chrI	220197	220497	+	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YAR066W	NA	Bad	chrI	221048	221660	+	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YAR068W	NA	Bad	chrI	222405	222891	+	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YAR069C	NA	Bad	chrI	224010	224304	-	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YAR070C	NA	Bad	chrI	224562	224862	-	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YAR071W	NA	Bad	chrI	225459	226863	+	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YAR073W	NA	Bad	chrI	227741	228953	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YAR075W	NA	Bad	chrI	228843	229317	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YBL001C	NA	Bad	chrII	237152	237467	-	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YBL002W	NA	Bad	chrII	236491	236887	+	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YBL003C	NA	Bad	chrII	235393	235792	-	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YBL004W	1806	Bad	chrII	227635	235117	+	1	NA	NA	bad_match	NA	NA	bad_match	NA	NA	bad_match	1806	4.926084	High
YBL005W	1452	Low	chrII	217469	220400	+	1	NA	NA	bad_match	1641	1.354101	Low	1452	1.496395	Low	1538	0.5030933	Low
YBL005W-A	NA	Bad	chrII	221329	222652	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YBL005W-B	NA	Bad	chrII	221329	226598	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YBL006C	NA	Bad	chrII	216586	217129	-	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YBL006W-A	NA	Bad	chrII	216710	216860	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YBL007C	3122	Low	chrII	212631	216366	-	1	NA	NA	bad_match	2541	0.5409662	Low	3122	0.7633342	Low	1566	0.623765	Low
YBL008W	1034	High	chrII	209652	212175	+	1	NA	NA	bad_match	867	2.621191	Medium	1032	4.00731	High	1034	7.070771	High
YBL008W-A	NA	Bad	chrII	209408	209648	+	1	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 	NA	NA	reads<=5 
YBL009W	932	Low	chrII	207193	209224	+	1	1747	0.76949	Low	1689	0.3347364	Low	932	0.4440036	Low	1387	0.1716541	Low
YBL010C	213	Low	chrII	206106	206949	-	1	NA	NA	bad_match	198	0.1588036	Low	220	0.06766979	Low	213	0.2275542	Low
YBL011W	NA	Bad	chrII	203537	205817	+	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YBL012C	NA	Bad	chrII	203405	203807	-	1	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 	NA	NA	overlap 
YBL013W	924	Low	chrII	202055	203261	+	1	NA	NA	bad_match	151	0	Low	523	0.1608072	Low	924	0.6722709	Low
YBL014C	576	Low	chrII	199063	201748	-	1	NA	NA	bad_match	576	0.4494172	Low	2527	0.06357186	Low	1734	0.2518096	Low
YBL015W	452	Low	chrII	194121	195702	+	1	NA	NA	bad_match	356	0.2861517	Low	452	0.4468015	Low	1197	0.2115001	Low
YBL016W	151	Low	chrII	192450	193512	+	1	NA	NA	bad_match	851	0.07291237	Low	151	0.09840217	Low	151	0.06815327	Low
YBL017C	2136	Low	chrII	186843	191583	-	1	NA	NA	bad_match	2136	1.86736	Low	2025	1.19646	Low	1592	0.3097969	Low
YBL018C	NA	Bad	chrII	185997	186474	-	1	NA	NA	has intron 	NA	NA	has intron 	NA	NA	has intron 	NA	NA	has intron 
YBL019W	474	Low	chrII	184352	185915	+	1	NA	NA	bad_match	1375	0.2124237	Low	505	0.2829744	Low	474	0.6529247	Low
YBL020W	1204	Low	chrII	182400	184125	+	1	NA	NA	bad_match	1204	1.339367	Low	1159	1.079632	Low	1180	0.3819004	Low
YBL021C	NA	Bad	chrII	181659	182094	-	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YBL022C	1627	Low	chrII	177873	181275	-	1	NA	NA	bad_match	151	0.454364	Low	1627	0.7592022	Low	825	0.2428812	Low
YBL023C	1358	Medium	chrII	174919	177526	-	1	NA	NA	bad_match	1363	2.482851	Medium	1398	2.491105	Medium	1358	3.056737	Medium
YBL024W	1810	Low	chrII	172533	174588	+	1	NA	NA	bad_match	1810	0.4262254	Low	1710	0.1741639	Low	780	0.1271529	Low
YBL025W	NA	Bad	chrII	171480	171918	+	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YBL026W	NA	Bad	chrII	170622	171038	+	1	NA	NA	has intron 	NA	NA	has intron 	NA	NA	has intron 	NA	NA	has intron 
YBL027W	NA	Bad	chrII	168422	169376	+	1	NA	NA	has intron 	NA	NA	has intron 	NA	NA	has intron 	NA	NA	has intron 
YBL028C	NA	Bad	chrII	167517	167838	-	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YBL029C-A	NA	Bad	chrII	164487	164772	-	1	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 	NA	NA	lens<=700 
YBL029W	774	Low	chrII	166133	167264	+	1	NA	NA	reads<=5 	403	0.1645228	Low	774	0.6418626	Low	700	0.313168	Low
YBL030C	186	Bad	chrII	163040	163997	-	1	NA	NA	bad_match	NA	NA	bad_match	186	0.6087895	Low	731	0.05908175	Low
YBL031W	853	Low	chrII	161698	162715	+	1	716	1.215913	Low	730	0.0578923	Low	853	0.6181628	Low	521	0.5600625	Low
YBL032W	994	Low	chrII	160183	161329	+	1	NA	NA	bad_match	151	0.283926	Low	151	0	Low	994	1.124071	Low
YBL033C	877	Bad	chrII	158655	159693	-	1	NA	NA	bad_match	877	0.0756835	Low	NA	NA	bad_match	151	0	Low
YBL034C	1072	Low	chrII	153847	158389	-	1	NA	NA	bad_match	1647	0.4293607	Low	971	0.9929664	Low	1072	1.9451	Low
YBL035C	1154	High	chrII	151492	153610	-	1	NA	NA	bad_match	1084	4.726253	High	1153	4.435619	High	1154	5.366574	High
YBL036C	584	Low	chrII	150446	151220	-	1	NA	NA	bad_match	151	0	Low	231	0.1011153	Low	584	1.305666	Low
YBL037W	2088	Low	chrII	147208	150286	+	1	NA	NA	bad_match	2717	0.2404157	Low	2088	0.7095062	Low	2075	0.5440557	Low
